index,cat_index,prefix,series,mat_code,material_name
108,4,EL,000031,EL000031,#10 THHN wire   
109,4,EL,000032,EL000032,Utility box   
110,4,EL,000033,EL000033,Junction box   
111,4,EL,000034,EL000034,"3/4"" flexible hose   "
112,4,EL,000035,EL000035,"1/2"" PVC conduit   "
113,4,EL,000036,EL000036,Electrical tape   
114,4,EL,000037,EL000037,Butane torch   
115,4,EL,000038,EL000038,2-spool service rack   
116,5,FN,000001,FN000001,blackscrew wood 3/4 
117,5,FN,000002,FN000002,"blackscrew wood 1"" "
118,5,FN,000003,FN000003,"blackscrew wood 1"" 1/4 "
119,5,FN,000004,FN000004,"blackscrew wood 1"" 1/2 "
120,5,FN,000005,FN000005,"blackscrew wood 2"" "
121,5,FN,000006,FN000006,"blackscrew wood 3"" "
122,5,FN,000007,FN000007,blackscrew metal  3/4 
123,5,FN,000008,FN000008,"blackscrew metal 1"" "
124,5,FN,000009,FN000009,"blackscrew metal 1"" 1/4 "
125,5,FN,000010,FN000010,"blackscrew metal  1"" 1/2 "
126,5,FN,000011,FN000011,"blackscrew metal  2"" "
127,5,FN,000012,FN000012,"blackscrew metal  3"" "
128,5,FN,000013,FN000013,Drill Bit 1/8 3mm 
129,5,FN,000014,FN000014,Drill Bit 3/32 2.5mm 
130,5,FN,000015,FN000015,Drill Bit 5/32 4mm 
131,5,FN,000016,FN000016,Drill Bit 7/64 7mm 
132,5,FN,000017,FN000017,Drill bit 9/64 9mm 
133,5,FN,000018,FN000018,Drill Bit 11/64 4.5mm 
134,5,FN,000019,FN000019,Drill Bit 3/16 5mm 
135,5,FN,000020,FN000020,Drill Bit 1/4 6.5mm 
136,5,FN,000021,FN000021,Drill Bit 5/16 8mm 
137,5,FN,000022,FN000022,Drill Bit 3/8 9.5mm 
138,5,FN,000023,FN000023,Drill Bit 1/2 13mm 
139,5,FN,000024,FN000024,Drill Bit 9/16 14mm 
140,5,FN,000025,FN000025,Drill Bit 5/8 16mm 
141,5,FN,000026,FN000026,Metal Stud 0.5 x 35mm x 2 in x 3m 
142,5,FN,000027,FN000027,Metal Stud 0.5 x 35mm x 3 in x 3m 
143,5,FN,000028,FN000028,Metal Stud 0.5 x 35mm x 4 in x 3m 
144,5,FN,000029,FN000029,Metal Track 0.5 x 35mm x 2 in x 3m 
145,5,FN,000030,FN000030,Metal Stud 0.5 x 35mm x 3 in x 3m 
146,5,FN,000031,FN000031,Metal Stud 0.5 x 35mm x 4 in x 3m 
147,5,FN,000032,FN000032,Metal Furring 45mm x 0.4mm x 5m 
148,5,FN,000033,FN000033,Carrying Channel 45mm x 0.7mm x 5m 
149,5,FN,000034,FN000034,Wall Angle 0.4mm x 3m x 10ft 
150,5,FN,000035,FN000035,Cross Tee 2ft 
151,5,FN,000036,FN000036,W Clip 
152,5,FN,000037,FN000037,Ficem Board 1/8 x 4ft x 8ft x 3.5mm
153,5,FN,000038,FN000038,Ficem Board 3/16 x 4ft x 8ft x 4.5mm
154,5,FN,000039,FN000039,Ficem Board 1.4 x 4ft x 8ft  x6mm
155,5,FN,000040,FN000040,Ficem Board 3/8 x 4ft x 8ft x 9mm
156,5,FN,000041,FN000041,Ficem Board 1/2 x 4ft x 8ft x 12mm
157,5,FN,000042,FN000042,Pvc Panel 
158,5,FN,000043,FN000043,Fluted Panel 
159,5,FN,000044,FN000044,J Clip 
160,5,FN,000045,FN000045,"Drawer Guide  12"" Soft Closing "
161,5,FN,000046,FN000046,"Drawer Guide 14"" Soft Closing "
162,5,FN,000047,FN000047,"Drawer Guide 16"" Soft Closing "
163,5,FN,000048,FN000048,"Drawer Guide 18"" Soft Closing "
164,5,FN,000049,FN000049,"Drawer Guide 20"" Soft Closing "
165,5,FN,000050,FN000050,Concealed Hinges Hydrolic  1 /2 /3  
166,5,FN,000051,FN000051,Rugby 300ml  
167,5,FN,000052,FN000052,Rugby 4liters 
168,5,FN,000053,FN000053,Stikwel   liter
169,5,FN,000054,FN000054,Stikwel   gal
170,5,FN,000055,FN000055,Easy Tite liter
171,5,FN,000056,FN000056,Easy Tite gal
172,5,FN,000057,FN000057,Solignum liter
173,5,FN,000058,FN000058,Solignum gal
174,5,FN,000059,FN000059,"Finishing Nail 1"""
175,5,FN,000060,FN000060,"Finishing Nail 1"" 1/2"
176,5,FN,000061,FN000061,"Finishing Nail 2"""
177,5,FN,000062,FN000062,"Finishing Nail 2"" 1/2"
178,5,FN,000063,FN000063,"Finishing Nail 3"""
179,5,FN,000064,FN000064,Laminated Marine Board 4ft x 8ft 
180,5,FN,000065,FN000065,Edge Band 
181,5,FN,000066,FN000066,Concrete Neutralizer liter
182,5,FN,000067,FN000067,Concrete Neutralizer gal
183,5,FN,000068,FN000068,Paint Thinner bottle
184,5,FN,000069,FN000069,Paint Thinner gal
185,5,FN,000070,FN000070,Sanding Sealer bottle 
186,5,FN,000071,FN000071,Sanding Sealer gal
187,5,FN,000072,FN000072,Lacquer Thinner bottle
188,5,FN,000073,FN000073,Lacquer Thinner gal
189,5,FN,000074,FN000074,Stripsol liter
190,5,FN,000075,FN000075,Stripsol gal
191,5,FN,000076,FN000076,Gloss Varnish 
192,5,FN,000077,FN000077,Wood Stain 
193,5,FN,000078,FN000078,Sanding Paper #80 9in x 11in
194,5,FN,000079,FN000079,Sanding Paper #100 9in x 11in
195,5,FN,000080,FN000080,Sanding Paper #120 9in x 11in
196,5,FN,000081,FN000081,Sanding Paper #150 9in x 11in
197,5,FN,000082,FN000082,Sanding Paper #180 9in x 11in
198,5,FN,000083,FN000083,Sanding Paper #200 9in x 11in
199,5,FN,000084,FN000084,Sanding Paper #240 9in x 11in
200,5,FN,000085,FN000085,Sanding Paper #400 9in x 11in
201,5,FN,000086,FN000086,Sanding Paper #800 9in x 11in
202,5,FN,000087,FN000087,Sanding Paper #1200 9in x 11in
203,5,FN,000088,FN000088,"Ecofor Wood 1"" x 2"" x 8ft"
204,5,FN,000089,FN000089,"Ecofor Wood 1"" x 4"" x 8ft"
205,5,FN,000090,FN000090,"Ecofor Wood 1"" x 6"" x 8ft"
206,5,FN,000091,FN000091,"Ecofor Wood 2"" x 2"" x 8ft"
207,5,FN,000092,FN000092,"Ecofor Wood 2"" x 3"" x 8ft"
208,5,FN,000093,FN000093,"Ecofor Wood 2"" x 4"" x 8ft"
209,5,FN,000094,FN000094,"Ecofor Wood 2"" x 6"" x 8ft"
210,5,FN,000095,FN000095,"Ecofor Wood 1"" x 2"" x 10ft"
211,5,FN,000096,FN000096,"Ecofor Wood 1"" x 4"" x 10ft"
212,5,FN,000097,FN000097,"Ecofor Wood 1"" x 6"" x 10ft"
213,5,FN,000098,FN000098,"Ecofor Wood 2"" x 2"" x 10ft"
214,5,FN,000099,FN000099,"Ecofor Wood 2"" x 3"" x 10ft"
215,5,FN,000100,FN000100,"Ecofor Wood 2"" x 4"" x 10ft"
216,5,FN,000101,FN000101,"Ecofor Wood 2"" x 6"" x 10ft"
217,5,FN,000102,FN000102,"Ecofor Wood 1"" x 2"" x 12ft"
218,5,FN,000103,FN000103,"Ecofor Wood 1"" x 4"" x 12ft"
219,5,FN,000104,FN000104,"Ecofor Wood 1"" x 6"" x 12ft"
220,5,FN,000105,FN000105,"Ecofor Wood 2"" x 2"" x 12ft"
221,5,FN,000106,FN000106,"Ecofor Wood 2"" x 3"" x 12ft"
222,5,FN,000107,FN000107,"Ecofor Wood 2"" x 4"" x 12ft"
223,5,FN,000108,FN000108,"Ecofor Wood 2"" x 6"" x 12ft"
224,5,FN,000109,FN000109,Gypsum Board 1/2 (12mm) x 4ft x 8ft
225,5,FN,000110,FN000110,Gypsum Board 3/8 (9mm)
226,5,FN,000111,FN000111,Surface on 4 Sides 1/2 x 1 x 8ft
227,5,FN,000112,FN000112,Surface on 4 Sides 1/2 x 2 x 8ft
228,5,FN,000113,FN000113,Surface on 4 Sides 1 x 1 x 8ft
229,5,FN,000114,FN000114,Surface on 4 Sides 1/2 x 1 x 10ft
230,5,FN,000115,FN000115,Surface on 4 Sides 1/2 x 2 x 10ft
231,5,FN,000116,FN000116,Surface on 4 Sides 1 x 1 x 10ft
232,5,FN,000117,FN000117,Surface on 4 Sides 1/2 x 1 x 12ft
233,5,FN,000118,FN000118,Surface on 4 Sides 1/2 x 2 x 12ft
234,5,FN,000119,FN000119,Surface on 4 Sides 1 x 1 x 12ft
235,5,FN,000120,FN000120,Fulatite liter
236,5,FN,000121,FN000121,Fulatite gal
237,5,FN,000122,FN000122,Moulded Door 70cm x 210cm x 40mm
238,5,FN,000123,FN000123,Moulded Door 80cm x 210cm x 40mm
239,5,FN,000124,FN000124,Moulded Door 90cm x 210cm x 40mm
240,5,FN,000125,FN000125,"Door Hinges 3"" x 3"""
241,5,FN,000126,FN000126,"Door Hinges 4"" x 4"""
242,5,FN,000127,FN000127,Door Jamb 2 x 4
243,5,FN,000128,FN000128,Door Jamb 2 x 5
244,5,FN,000129,FN000129,Door Jamb 2 x 6
245,5,FN,000130,FN000130,Skimcoat 
246,5,FN,000131,FN000131,Grout 
247,5,FN,000132,FN000132,Tile Spacer 2mm 
248,5,FN,000133,FN000133,"Flap Disc 4"" "
249,5,FN,000134,FN000134,"Diamond Disc 4"" "
250,5,FN,000135,FN000135,"Cutting Disc 4"" "
251,5,FN,000136,FN000136,Marine Plywood 1/4 x 4ft x 8ft
252,5,FN,000137,FN000137,Marine Plywood 1/8 x 4ft x 8ft
253,5,FN,000138,FN000138,Marine Plywood 3/4 x 4ft x 8ft
254,5,FN,000139,FN000139,Electrical Tape 
255,5,FN,000140,FN000140,"Masking Tape 1"""
256,5,FN,000141,FN000141,"Masking Tape 1/2 """
257,5,FN,000142,FN000142,"Masking Tape 3/4"""
258,5,FN,000143,FN000143,"Paint Brush  1"""
259,5,FN,000144,FN000144,"Paint Brush  1 1/2"""
260,5,FN,000145,FN000145,"Paint Brush  2"""
261,5,FN,000146,FN000146,"Paint Brush  4"""
262,5,FN,000147,FN000147,Acrytex Prime 
263,5,FN,000148,FN000148,Flat Latex 3701 
264,5,FN,000149,FN000149,Semi Gloss White Latex 
265,5,FN,000150,FN000150,Wall Putty 
266,5,FN,000151,FN000151,"4"" Baby Roller Foam "
267,5,FN,000152,FN000152,Mesh Tape 2 Inch 
268,5,FN,000153,FN000153,Blind Rivet 5/32  x ½ 
